"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p"
"ENSMUSG00000000085" "chr4-1019" "chr4" 120077411 120077571 3.95 5.37e-10
"ENSMUSG00000000134" "chrX-359" "chrX" 7366502 7366662 2.94 1.14e-05
"ENSMUSG00000000282" "chr11-523" "chr11" 74651462 74651622 2.13 1.19e-05
"ENSMUSG00000000282" "chr11-930" "chr11" 74652216 74652376 2.5 1.19e-06
"ENSMUSG00000000282" "chr11-1168" "chr11" 74643524 74643684 2.2 4.02e-05
"ENSMUSG00000000305" "chr2-2321" "chr2" 179456274 179456428 7.15 8.07e-12
"ENSMUSG00000000320" "chr11-183" "chr11" 70053423 70053583 2.59 3.43e-08
"ENSMUSG00000000320" "chr11-1255" "chr11" 70053773 70053933 3.38 7.37e-09
"ENSMUSG00000000374" "chr10-1288" "chr10" 77701470 77701630 2.61 6.68e-05
"ENSMUSG00000000392" "chr2-2524" "chr2" 62327386 62327546 3.04 1.45e-05
"ENSMUSG00000000394" "chr2-2524" "chr2" 62327386 62327546 3.04 1.45e-05
"ENSMUSG00000000399" "chr6-4500" "chr6" 126724973 126725133 4.04 4.89e-06
"ENSMUSG00000000538" "chr11-1155" "chr11" 60130500 60130660 2.31 2.57e-05
"ENSMUSG00000000560" "chr5-1880" "chr5" 71486109 71486269 2.85 3.34e-05
"ENSMUSG00000000560" "chr5-3273" "chr5" 71485666 71485826 3.18 1.76e-05
"ENSMUSG00000000562" "chr3-2753" "chr3" 105674741 105674901 4.59 2.48e-07
"ENSMUSG00000000581" "chr11-178" "chr11" 17157700 17157860 2.13 2.11e-08
"ENSMUSG00000000631" "chr11-487" "chr11" 77579778 77579938 2.2 1.63e-06
"ENSMUSG00000000751" "chr11-1169" "chr11" 75105803 75105963 3.27 6.51e-09
"ENSMUSG00000000751" "chr11-3774" "chr11" 75121652 75121812 3.53 1.99e-05
"ENSMUSG00000000826" "chr2-1309" "chr2" 181254541 181254701 2.63 3.37e-06
"ENSMUSG00000000827" "chr2-1309" "chr2" 181254541 181254701 2.63 3.37e-06
"ENSMUSG00000000958" "chr14-59" "chr14" 54980688 54980848 2.11 1.33e-09
"ENSMUSG00000000959" "chr14-59" "chr14" 54980688 54980848 2.11 1.33e-09
"ENSMUSG00000001054" "chr11-2558" "chr11" 51443903 51444063 2.94 2.94e-06
"ENSMUSG00000001120" "chr10-537" "chr10" 76425032 76425192 2.31 2.57e-05
"ENSMUSG00000001175" "chr12-1685" "chr12" 101473719 101473873 6.35 9.43e-08
"ENSMUSG00000001175" "chr12-286" "chr12" 101514493 101514653 2.29 2.3e-06
"ENSMUSG00000001175" "chr12-494" "chr12" 101512523 101512683 2.2 1.8e-05
"ENSMUSG00000001175" "chr12-687" "chr12" 101483204 101483364 2.16 4e-05
"ENSMUSG00000001175" "chr12-910" "chr12" 101452791 101452951 3.25 4.53e-06
"ENSMUSG00000001175" "chr12-1215" "chr12" 101440412 101440572 2.64 1.77e-05
"ENSMUSG00000001175" "chr12-1543" "chr12" 101492571 101492731 3.18 1.76e-05
"ENSMUSG00000001240" "chr11-1615" "chr11" 101121516 101121670 2.43 7.23e-05
"ENSMUSG00000001323" "chr11-787" "chr11" 74738974 74739134 2.45 2.99e-06
"ENSMUSG00000001415" "chr3-546" "chr3" 88140592 88140752 2.2 2.69e-05
"ENSMUSG00000001417" "chr3-1105" "chr3" 88029440 88029600 2.72 6.42e-06
"ENSMUSG00000001419" "chr3-503" "chr3" 87943432 87943592 2.3 1.74e-05
"ENSMUSG00000001424" "chr6-1399" "chr6" 28733449 28733603 2.72 8.43e-05
"ENSMUSG00000001424" "chr6-1005" "chr6" 28492887 28493047 4.65 2.96e-10
"ENSMUSG00000001441" "chr11-731" "chr11" 97176680 97176840 3.05 4.54e-09
