"ensembl_gene_id" "peak" "chr" "start" "end" "fc" "p"
"ENSMUSG00000000120" "chr11-4703" "chr11" 95382305 95382481 2.72 8.17e-07
"ENSMUSG00000000131" "chr7-10194" "chr7" 133316805 133316981 4.29 5.82e-08
"ENSMUSG00000000131" "chr7-5923" "chr7" 133227381 133227553 3.18 1.17e-06
"ENSMUSG00000000131" "chr7-7287" "chr7" 133242932 133243104 3.06 3.73e-06
"ENSMUSG00000000142" "chr11-2825" "chr11" 108752734 108752906 2.23 1.1e-06
"ENSMUSG00000000194" "chr2-6820" "chr2" 31072627 31072803 2.18 6.27e-05
"ENSMUSG00000000248" "chr6-4218" "chr6" 128946516 128946692 2.62 4.09e-07
"ENSMUSG00000000296" "chr10-3157" "chr10" 31071710 31071886 2.38 3.97e-05
"ENSMUSG00000000325" "chr16-1698" "chr16" 18394149 18394325 2.1 5.89e-05
"ENSMUSG00000000359" "chr2-9830" "chr2" 152461290 152461466 3.23 1.34e-05
"ENSMUSG00000000402" "chrX-1148" "chrX" 163023475 163023647 2.84 2.25e-06
"ENSMUSG00000000416" "chr6-2227" "chr6" 18419419 18419591 2.19 1.8e-05
"ENSMUSG00000000416" "chr6-6856" "chr6" 18389104 18389276 2.82 3.34e-05
"ENSMUSG00000000416" "chr6-6859" "chr6" 18426122 18426294 3.72 5.42e-06
"ENSMUSG00000000420" "chr18-3469" "chr18" 24366556 24366732 2.45 8.91e-05
"ENSMUSG00000000420" "chr18-4532" "chr18" 24381098 24381270 3.08 1.45e-05
"ENSMUSG00000000538" "chr11-5290" "chr11" 60061890 60062066 2.19 9.63e-05
"ENSMUSG00000000538" "chr11-9226" "chr11" 60136565 60136737 3.08 1.45e-05
"ENSMUSG00000000560" "chr5-3605" "chr5" 71484353 71484529 2.18 6.27e-05
"ENSMUSG00000000562" "chr3-3356" "chr3" 105695246 105695422 2.19 9.63e-05
"ENSMUSG00000000562" "chr3-2479" "chr3" 105656797 105656969 2.56 2.4e-06
"ENSMUSG00000000631" "chr11-9374" "chr11" 77627448 77627620 2.41 8.21e-05
"ENSMUSG00000000731" "chr10-1501" "chr10" 77481737 77481913 2 1.99e-05
"ENSMUSG00000000732" "chr10-3754" "chr10" 77590568 77590740 2.37 5.58e-05
"ENSMUSG00000000740" "chr8-4505" "chr8" 125640142 125640318 2.36 2.64e-05
"ENSMUSG00000000759" "chr8-3871" "chr8" 12659418 12659590 2.13 4e-05
"ENSMUSG00000000792" "chr8-4329" "chr8" 73403476 73403652 2.04 8.21e-05
"ENSMUSG00000000794" "chr3-3624" "chr3" 89441989 89442161 3.06 3.73e-06
"ENSMUSG00000000861" "chr11-4539" "chr11" 23991638 23991814 2.28 5.07e-06
"ENSMUSG00000000884" "chr16-2610" "chr16" 18543133 18543305 2.41 8.21e-05
"ENSMUSG00000001036" "chr11-3061" "chr11" 61346705 61346881 2.04 6.25e-06
"ENSMUSG00000001089" "chr4-7232" "chr4" 136101236 136101412 2.92 3.37e-05
"ENSMUSG00000001119" "chr10-5064" "chr10" 76157633 76157805 3.22 4.53e-06
"ENSMUSG00000001123" "chr11-12001" "chr11" 78815527 78815699 6.21 3.57e-09
"ENSMUSG00000001211" "chr10-6438" "chr10" 77776039 77776215 2.81 2.48e-05
"ENSMUSG00000001211" "chr10-5722" "chr10" 77806956 77807128 3.78 2.85e-08
"ENSMUSG00000001240" "chr11-2142" "chr11" 101091882 101092058 2.1 3.1e-08
"ENSMUSG00000001247" "chr7-3155" "chr7" 31758671 31758843 2.31 3.39e-06
"ENSMUSG00000001417" "chr3-2435" "chr3" 88033864 88034040 2.14 7.44e-06
"ENSMUSG00000001419" "chr3-3610" "chr3" 87974135 87974307 2.84 2.25e-06
"ENSMUSG00000001424" "chr6-3569" "chr6" 28579507 28579683 2.97 1.29e-07
"ENSMUSG00000001424" "chr6-3047" "chr6" 28841430 28841602 2.38 1.07e-05
"ENSMUSG00000001424" "chr6-4796" "chr6" 28812683 28812855 2.26 8.94e-05
"ENSMUSG00000001441" "chr11-5853" "chr11" 97162388 97162564 2.18 6.27e-05
"ENSMUSG00000001467" "chr5-5308" "chr5" 4160168 4160340 2.55 4.69e-05
"ENSMUSG00000001506" "chr11-4649" "chr11" 94798265 94798437 2.69 1.24e-06
"ENSMUSG00000001576" "chr17-1903" "chr17" 26797054 26797230 2.25 1.21e-07
"ENSMUSG00000001687" "chr5-5807" "chr5" 149331070 149331246 2.55 3.41e-05
"ENSMUSG00000001773" "chr7-6949" "chr7" 93922032 93922208 2.41 5.96e-05
"ENSMUSG00000001829" "chr7-9003" "chr7" 108821302 108821474 2.82 3.34e-05
"ENSMUSG00000001833" "chr9-1402" "chr9" 24979397 24979573 2.01 1.23e-07
"ENSMUSG00000001855" "chr2-2723" "chr2" 31894196 31894368 2.32 6.65e-07
"ENSMUSG00000001911" "chr8-2420" "chr8" 87268988 87269164 2.52 1.36e-07
"ENSMUSG00000001911" "chr8-3274" "chr8" 87334660 87334836 2.04 8.21e-05
"ENSMUSG00000001911" "chr8-7072" "chr8" 87240003 87240179 2.3 9.67e-05
"ENSMUSG00000001985" "chr4-3409" "chr4" 125375670 125375842 3.92 5.37e-10
"ENSMUSG00000001985" "chr4-9171" "chr4" 125272998 125273170 2.61 6.68e-05
"ENSMUSG00000001985" "chr4-8092" "chr4" 125356357 125356529 2.94 1.14e-05
"ENSMUSG00000001986" "chrX-700" "chrX" 38754535 38754711 2.23 6.35e-07
"ENSMUSG00000001986" "chrX-1035" "chrX" 38740193 38740369 2.04 5.33e-05
"ENSMUSG00000001995" "chr8-3377" "chr8" 127985379 127985555 2.64 2.26e-06
"ENSMUSG00000001998" "chr2-11242" "chr2" 126867224 126867396 2.82 3.34e-05
"ENSMUSG00000002107" "chr2-5683" "chr2" 6984552 6984728 2.64 2.26e-06
"ENSMUSG00000002279" "chr17-5103" "chr17" 25802641 25802813 2.69 9.4e-05
"ENSMUSG00000002379" "chr17-5849" "chr17" 56862755 56862931 4.85 3.78e-08
"ENSMUSG00000002489" "chr16-3853" "chr16" 90048050 90048226 3.35 9.69e-07
"ENSMUSG00000002489" "chr16-1897" "chr16" 89986455 89986627 2.07 5.75e-05
"ENSMUSG00000002489" "chr16-3131" "chr16" 90044006 90044178 2.49 3.27e-05
"ENSMUSG00000002489" "chr16-4031" "chr16" 89873420 89873592 3.59 1.46e-06
"ENSMUSG00000002603" "chr7-2945" "chr7" 26490033 26490209 2.38 5.86e-07
"ENSMUSG00000002608" "chr7-2945" "chr7" 26490033 26490209 2.38 5.86e-07
"ENSMUSG00000002688" "chr12-2872" "chr12" 51725459 51725635 2.16 2.67e-05
"ENSMUSG00000002688" "chr12-3346" "chr12" 51648180 51648352 3.23 2.46e-08
"ENSMUSG00000002803" "chr12-5964" "chr12" 114191484 114191660 2.41 5.96e-05
"ENSMUSG00000002871" "chr6-5547" "chr6" 88908885 88909061 2.93 8.3e-06
"ENSMUSG00000002957" "chr7-10693" "chr7" 148794148 148794320 2.69 9.4e-05
"ENSMUSG00000002997" "chr12-3318" "chr12" 32661775 32661947 2.31 2.57e-05
"ENSMUSG00000003099" "chr7-3868" "chr7" 17611296 17611472 2.21 7.73e-06
"ENSMUSG00000003153" "chr6-2346" "chr6" 122690492 122690664 2.11 1.19e-05
"ENSMUSG00000003178" "chr6-5777" "chr6" 121006344 121006520 2.92 3.37e-05
"ENSMUSG00000003279" "chr17-3055" "chr17" 70658210 70658386 2.38 3.97e-05
"ENSMUSG00000003410" "chr9-4017" "chr9" 21834056 21834228 3.04 2.51e-07
"ENSMUSG00000003526" "chr16-1694" "chr16" 18087532 18087708 2.62 4.09e-07
"ENSMUSG00000003575" "chr8-2270" "chr8" 72941934 72942110 2.2 5.07e-06
"ENSMUSG00000003581" "chr11-5593" "chr11" 4043693 4043865 2.16 9.03e-05
"ENSMUSG00000003617" "chr3-2233" "chr3" 19859802 19859978 2.41 7.14e-06
"ENSMUSG00000003657" "chr8-3550" "chr8" 112654630 112654806 2.55 6.06e-06
"ENSMUSG00000003657" "chr8-5329" "chr8" 112710956 112711132 2.38 3.97e-05
"ENSMUSG00000003778" "chr18-1681" "chr18" 34783247 34783423 2.31 1.16e-05
"ENSMUSG00000003810" "chr4-5734" "chr4" 116043908 116044080 2.41 8.21e-05
"ENSMUSG00000003847" "chr8-5301" "chr8" 109891836 109892012 3.06 1.65e-07
"ENSMUSG00000004054" "chr19-1071" "chr19" 5690713 5690889 2.6 4.68e-10
"ENSMUSG00000004071" "chr16-1626" "chr16" 4785077 4785249 2.24 5.99e-05
"ENSMUSG00000004105" "chr2-4044" "chr2" 33108727 33108903 2.04 5.33e-05
"ENSMUSG00000004110" "chr1-2454" "chr1" 156349991 156350163 2.17 8.09e-06
"ENSMUSG00000004110" "chr1-6546" "chr1" 156375837 156376009 3.06 3.73e-06
"ENSMUSG00000004110" "chr1-6547" "chr1" 156623511 156623683 6.53 5.59e-10
"ENSMUSG00000004110" "chr1-7400" "chr1" 156346477 156346649 2.61 6.68e-05
"ENSMUSG00000004207" "chr10-4460" "chr10" 59761201 59761377 3.32 2.44e-07
"ENSMUSG00000004508" "chr7-3014" "chr7" 104395441 104395617 2.04 2.26e-05
"ENSMUSG00000004508" "chr7-3525" "chr7" 104228211 104228387 2.1 9.07e-05
"ENSMUSG00000004530" "chr5-2673" "chr5" 114325953 114326129 2.18 1.44e-06
"ENSMUSG00000004535" "chr6-2348" "chr6" 52674997 52675173 2.65 1.06e-07
"ENSMUSG00000004591" "chr3-7602" "chr3" 142528646 142528818 4.41 1.13e-06
"ENSMUSG00000004633" "chr6-5429" "chr6" 54206385 54206561 2.28 6.35e-05
"ENSMUSG00000004633" "chr6-5431" "chr6" 54210041 54210217 3.5 2.73e-07
"ENSMUSG00000004667" "chr10-4108" "chr10" 79505401 79505573 2.61 3.37e-06
"ENSMUSG00000004895" "chr3-4759" "chr3" 87678646 87678822 2.65 1.26e-05
"ENSMUSG00000004936" "chr9-1851" "chr9" 64079268 64079444 2 2.37e-06
"ENSMUSG00000004945" "chr17-3109" "chr17" 5470967 5471143 3.25 3.95e-09
"ENSMUSG00000005057" "chr5-5219" "chr5" 136709262 136709438 2.25 2.73e-05
"ENSMUSG00000005124" "chr15-2084" "chr15" 66755608 66755784 2.09 2.49e-05
"ENSMUSG00000005125" "chr15-2084" "chr15" 66755608 66755784 2.09 2.49e-05
"ENSMUSG00000005354" "chr15-5275" "chr15" 77766059 77766231 2.94 1.14e-05
"ENSMUSG00000005371" "chr17-6217" "chr17" 88438931 88439103 3.53 1.99e-05
"ENSMUSG00000005410" "chr8-3651" "chr8" 77722071 77722243 2.71 3.3e-07
"ENSMUSG00000005417" "chr11-7298" "chr11" 59535466 59535642 2.45 8.91e-05
"ENSMUSG00000005469" "chr8-3981" "chr8" 86498638 86498810 2.83 8.65e-06
"ENSMUSG00000005474" "chr5-5732" "chr5" 137113804 137113980 3.57 1.93e-08
